breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan,characteristics
Andalusian Hound,https://www.dogbreedslist.info//all-dog-breeds/andalusian-hound.html,-,No,-,Prices: $1500 - $2500,Lifespan: 10-12 years,"['Agile', 'Clever', 'Obedient', 'Stubborn']"
Basset Artesien Normand,https://www.dogbreedslist.info//all-dog-breeds/basset-artesien-normand.html,-,No,-,Prices: $1200 - $1500,Lifespan: 13-15 years,"['Courageous', 'Gentle', 'Loving', 'Protective']"
Mountain Feist,https://www.dogbreedslist.info//all-dog-breeds/mountain-feist.html,-,No,-,Prices: $500 - $800,Lifespan: 10-15 years,"['Friendly', 'Gentle', 'Loving', 'Social']"
Texas Heeler,https://www.dogbreedslist.info//all-dog-breeds/texas-heeler.html,-,No,-,Prices: $400 - $700,Lifespan: 13-15 years,"['Affectionate', 'Even-tempered', 'Friendly', 'Intelligent']"
King Shepherd,https://www.dogbreedslist.info//all-dog-breeds/king-shepherd.html,-,No,-,Prices: $1500 - $2500,Lifespan: 10-13 years,"['Alert', 'Determined', 'Dignified', 'Friendly']"
Double Doodle,https://www.dogbreedslist.info//all-dog-breeds/double-doodle.html,-,-,-,Prices: $1000 - $3500,Lifespan: 12-15 years,"['Affectionate', 'Friendly', 'Gentle', 'Intelligent']"
Russian Tsvetnaya Bolonka,https://www.dogbreedslist.info//all-dog-breeds/russian-tsvetnaya-bolonka.html,-,Yes,-,Prices: $1500 - $2500,Lifespan: 12-16 years,"['Calm', 'Friendly', 'Watchful', 'Confident']"
Maremma Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/maremma-sheepdog.html,-,No,-,Prices: $1500 - $2500,Lifespan: 11-13 years,"['Active', 'Devoted', 'Intelligent', 'Playful']"
Shichon,https://www.dogbreedslist.info//all-dog-breeds/shichon.html,-,Yes,-,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Calm', 'Courageous', 'Gentle', 'Protective']"
Broholmer,https://www.dogbreedslist.info//all-dog-breeds/broholmer.html,-,-,-,Prices: $1500 - $2000,Lifespan: 8-11 years,"['Confident', 'Loyal', 'Fearless', 'Guardian']"
Biewer Terrier,https://www.dogbreedslist.info//all-dog-breeds/biewer-terrier.html,-,Yes,-,Prices: $2500 - $4500,Lifespan: 12-16 years,"['Dignified', 'Affectionate', 'Good-natured', 'Courageous']"
Pyrenean Mastiff,https://www.dogbreedslist.info//all-dog-breeds/pyrenean-mastiff.html,-,No,-,Prices: $1500 - $3000,Lifespan: 10-12 years,"['Friendly', 'Confident', 'Sweet', 'Affectionate']"
Romanian Mioritic Shepherd Dog,https://www.dogbreedslist.info//all-dog-breeds/romanian-mioritic-shepherd-dog.html,-,No,-,Prices: $1400 - $1800,Lifespan: 12-14 years,"['Fun-loving', 'Loyal', 'Brave', 'Intelligent']"
American Mastiff,https://www.dogbreedslist.info//all-dog-breeds/american-mastiff.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-12 years,"['Independent', 'Obedient', 'Patient', 'Dominant']"
Lucas Terrier,https://www.dogbreedslist.info//all-dog-breeds/lucas-terrier.html,-,-,-,Prices: $2000 - $3500,Lifespan: 14-15 years,"['Reliable', 'Affectionate', 'Alert', 'Independent']"
Lurcher,https://www.dogbreedslist.info//all-dog-breeds/lurcher.html,-,-,-,Prices: $600 - $800,Lifespan: 12-14 years,"['Intelligent', 'Alert', 'Fearless', 'Lively']"
Akbash Dog,https://www.dogbreedslist.info//all-dog-breeds/akbash-dog.html,-,No,-,Prices: $700 - $900,Lifespan: 10-12 years,"['Watchful', 'Stubborn', 'Independent', 'Protective']"
Alano Espanol,https://www.dogbreedslist.info//all-dog-breeds/alano-espanol.html,-,No,-,Prices: $600 - $2000,Lifespan: 11-14 years,"['Trainable', 'Affectionate', 'Friendly', 'Intelligent']"
Mal-Shi,https://www.dogbreedslist.info//all-dog-breeds/mal-shi.html,-,-,-,Prices: $1500 - $2500,Lifespan: 12-15 years,"['Loyal', 'Intelligent', 'Protective', 'Calm']"
Slovensky Cuvac,https://www.dogbreedslist.info//all-dog-breeds/slovensky-cuvac.html,-,-,-,Prices: $1800 - $2500,Lifespan: 11-13 years,"['Intelligent', 'Independent', 'Friendly', 'Loving']"
Moscow Watchdog,https://www.dogbreedslist.info//all-dog-breeds/moscow-watchdog.html,-,-,-,Prices: $2000 - $2500,Lifespan: 9-11 years,"['Loyal', 'Social', 'Affectionate', 'Calm']"
Stabyhoun,https://www.dogbreedslist.info//all-dog-breeds/stabyhoun.html,-,-,-,Prices: $2000 - $3200,Lifespan: 13-14 years,"['Quiet', 'Gentle', 'Playful', 'Obedient']"
Mountain Cur,https://www.dogbreedslist.info//all-dog-breeds/mountain-cur.html,-,No,-,Prices: $500 - $1000,Lifespan: 12-16 years,"['Forgiving', 'Quiet', 'Independent', 'Dominant']"
Polish Tatra Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/polish-tatra-sheepdog.html,-,No,-,Prices: $1200 - $2000,Lifespan: 10-12 years,"['Passionate', 'Courageous', 'Devoted', 'Courageous']"
Puggle,https://www.dogbreedslist.info//all-dog-breeds/puggle.html,-,-,-,Prices: $1000 - $2000,Lifespan: 10-15 years,"['Calm', 'Loyal', 'Keen', 'Adaptable']"
Spanish Greyhound,https://www.dogbreedslist.info//all-dog-breeds/spanish-greyhound.html,-,-,-,Prices: $800 - $1500,Lifespan: 12-15 years,"['Eager', 'Self-assured', 'Reserved', 'Confident']"
Kyi-Leo,https://www.dogbreedslist.info//all-dog-breeds/kyi-leo.html,-,Yes,-,Prices: $800 - $1200,Lifespan: 12-15 years,"['Brave', 'Light', 'Elegant', 'Strongly']"
Briquet Griffon Vendeen,https://www.dogbreedslist.info//all-dog-breeds/briquet-griffon-vendeen.html,-,No,-,Prices: $1000 - $1200,Lifespan: 10-12 years,"['Loyal', 'Even Tempered', 'Fearless', 'Independent']"
Bukovina Sheepdog,https://www.dogbreedslist.info//all-dog-breeds/bukovina-sheepdog.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-14 years,"['Boisterous', 'Energetic', 'Loyal', 'Independent']"
Cesky Fousek,https://www.dogbreedslist.info//all-dog-breeds/cesky-fousek.html,-,-,-,Prices: $800 - $1500,Lifespan: 12-15 years,"['Boisterous', 'Loyal', 'Friendly', 'Swift']"
Chart Polski,https://www.dogbreedslist.info//all-dog-breeds/chart-polski.html,-,No,-,Prices: $800 - $1200,Lifespan: 10-12 years,"['Active', 'Vigilant', 'Cheerful', 'Docile']"
Deutsche Bracke,https://www.dogbreedslist.info//all-dog-breeds/deutsche-bracke.html,-,No,-,Prices: $800 - $1200,Lifespan: 10-12 years,"['Vocal', 'Calm', 'Energetic', 'Active']"
East Siberian Laika,https://www.dogbreedslist.info//all-dog-breeds/east-siberian-laika.html,-,No,-,Prices: $1000 - $2000,Lifespan: 12-15 years,"['Intelligent', 'Stubborn', 'Even Tempered', 'Self-Controlled']"
Greenland Dog,https://www.dogbreedslist.info//all-dog-breeds/greenland-dog.html,-,No,-,Prices: $1000 - $2000,Lifespan: 12-14 years,"['Calm', 'Affectionate', 'Devoted', 'Loyal']"
Griffon bleu de Gascogne,https://www.dogbreedslist.info//all-dog-breeds/griffon-bleu-de-gascogne.html,-,No,-,Prices: $1000 - $1500,Lifespan: 12-15 years,"['Calm', 'Affectionate', 'Good natured', 'Loyal']"
Japanese Terrier,https://www.dogbreedslist.info//all-dog-breeds/japanese-terrier.html,-,No,-,Prices: $600 - $800,Lifespan: 12-15 years,"['Playful', 'Cheerful', 'Energetic', 'Friendly']"
Lapponian Herder,https://www.dogbreedslist.info//all-dog-breeds/lapponian-herder.html,-,No,-,Prices: $1000 - $2000,Lifespan: 10-12 years,"['Lively', 'Cheerful', 'Independent', 'Loyal']"
Grand Bleu de Gascogne,https://www.dogbreedslist.info//all-dog-breeds/grand-bleu-de-gascogne.html,-,-,-,Prices: $1000 - $1500,Lifespan: 12-14 years,"['Social', 'Cheerful', 'lively', 'loving']"
Pudelpointer,https://www.dogbreedslist.info//all-dog-breeds/pudelpointer.html,-,No,-,Prices: $1200 - $1500,Lifespan: 9-11 years,"['loyal', 'Loving', 'Loyal', 'Out-Going']"
Rajapalayam dog,https://www.dogbreedslist.info//all-dog-breeds/rajapalyam-dog.html,-,-,-,Prices: $300 - $500,Lifespan: 10-12 years,"['Cheerful', 'Gentle', 'Loving', 'Playful']"
Beagle-Harrier,https://www.dogbreedslist.info//all-dog-breeds/beagle-harrier.html,-,No,-,Prices: $1500 - $2500,Lifespan: 12-14 years,"['Quick', 'Docile', 'Energetic', 'Trainable']"
Beaglier,https://www.dogbreedslist.info//all-dog-breeds/beaglier.html,-,No,-,Prices: $1200 - $2000,Lifespan: 13-15 years,"['Sociable', 'Trainable', 'Hard-working', 'Enterprising']"
Cairmal,https://www.dogbreedslist.info//all-dog-breeds/cairmal.html,-,-,-,Prices: $500 - $800,Lifespan: 12-15 years,"['Agile', 'Courageous', 'Loyal', 'Quiet']"
Majestic Tree Hound,https://www.dogbreedslist.info//all-dog-breeds/majestic-tree-hound.html,-,No,-,Prices: $600 - $800,Lifespan: 10-13 years,"['Adaptable', 'Playful', 'Curious', 'Obstinate']"
Chorkie,https://www.dogbreedslist.info//all-dog-breeds/chorkie.html,-,-,-,Prices: $700 - $1200,Lifespan: 12-14 years,"['Courageous', 'Loyal', 'Graceful', 'Elegant']"
Cockalier,https://www.dogbreedslist.info//all-dog-breeds/cockalier.html,-,No,-,Prices: $1800 - $3500,Lifespan: 12-15 years,"['Intelligent', 'Alert', 'Lively', 'Aloof']"
Dorkie,https://www.dogbreedslist.info//all-dog-breeds/dorkie.html,-,-,-,Prices: $600 - $800,Lifespan: 13-15 years,"['Agile', 'Loyal', 'Cooperative', 'Affectionate']"
Ariege Pointer,https://www.dogbreedslist.info//all-dog-breeds/ariege-pointer.html,-,No,-,Prices: $600 - $800,Lifespan: 10-13 years,"['Lively', 'Active', 'Passionate', 'Independent']"
Ariegeois,https://www.dogbreedslist.info//all-dog-breeds/ariegeois.html,-,-,-,Prices: $1000 - $1200,Lifespan: 10-12 years,"['Friendly', 'Energetic', 'Gentle', 'Dependable']"
Bavarian Mountain Hound,https://www.dogbreedslist.info//all-dog-breeds/bavarian-mountain-hound.html,-,No,-,Prices: $1000 - $1500,Lifespan: 10-12 years,"['Familial', 'Calm', 'Alert', 'Friendly']"
Bouvier des Ardennes,https://www.dogbreedslist.info//all-dog-breeds/bouvier-de-ardennes.html,-,-,-,Prices: $1500 - $3000,Lifespan: 12-14 years,"['Self-Confident', 'Fearless', 'Lively', 'Submissive']"
Caravan Hound,https://www.dogbreedslist.info//all-dog-breeds/caravan-hound.html,-,No,-,Prices: Unknown,Lifespan: 10-15 years,"['Calm', 'Affectionate', 'Protective', 'Sober']"
Danish-Swedish Farmdog,https://www.dogbreedslist.info//all-dog-breeds/danish-swedish-farmdog.html,-,No,-,Prices: Unknown,Lifespan: 10-15 years,"['Self-Confident', 'Calm', 'Trainable', 'Inquisitive']"
Dingo,https://www.dogbreedslist.info//all-dog-breeds/dingo.html,-,No,-,Prices: Unknown,Lifespan: 16-20 years,"['Cooperative', 'Primitive', 'Active', 'Lively']"
Dutch Smoushond,https://www.dogbreedslist.info//all-dog-breeds/dutch-smoushond.html,-,No,-,Prices: Unknown,Lifespan: 12-15 years,"['Balanced', 'Nervous', 'Steady', 'Vigilant']"
Finnish Hound,https://www.dogbreedslist.info//all-dog-breeds/finnish-hound.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years,"['Peaceful', 'Persistent', 'Brave', 'Courageous']"
Northern Inuit Dog,https://www.dogbreedslist.info//all-dog-breeds/northern-inuit-dog.html,-,-,-,Prices: Unknown,Lifespan: 12-14 years,"['Independent', 'Territorial', 'Aggressive', 'Protective']"
Plummer Terrier,https://www.dogbreedslist.info//all-dog-breeds/plummer-terrier.html,-,-,-,Prices: Unknown,Lifespan: 12-15 years,"['Lively', 'Reserved', 'Stubborn', 'Quiet']"
Portuguese Pointer,https://www.dogbreedslist.info//all-dog-breeds/portuguese-pointer.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years,"['Independent', 'Kind', 'Tempered', 'Active']"
Rafeiro do Alentejo,https://www.dogbreedslist.info//all-dog-breeds/rafeiro-do-alentejo.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years,"['Affectionate', 'Loyal', 'Playful', 'Friendly']"
Seppala Siberian Sleddog,https://www.dogbreedslist.info//all-dog-breeds/seppala-siberian-sleddog.html,-,-,-,Prices: Unknown,Lifespan: 12-16 years,"['Independent', 'Watchful', 'Trainable', 'Territorial']"
South Russian Ovcharka,https://www.dogbreedslist.info//all-dog-breeds/south-russian-ovcharka.html,-,No,-,Prices: Unknown,Lifespan: 9-11 years,"['Agile', 'Alert', 'Energetic', 'Sensitive']"
Tornjak,https://www.dogbreedslist.info//all-dog-breeds/tornjak.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years,"['Affectionate', 'Courageous', 'Calm', 'Tenacious']"
Karst Shepherd,https://www.dogbreedslist.info//all-dog-breeds/karst-shepherd.html,-,-,-,Prices: Unknown,Lifespan: 11-12 years,"['Intelligent', 'Lively', 'Obedient', 'Sweet-Tempered']"
West Siberian Laika,https://www.dogbreedslist.info//all-dog-breeds/west-siberian-laika.html,-,No,-,Prices: Unknown,Lifespan: 14-16 years,"['Companionable', 'Fearless', 'Alert', 'Self-assured']"
Wetterhoun,https://www.dogbreedslist.info//all-dog-breeds/wetterhoun.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years,"['Even Tempered', 'Keen', 'Friendly', 'Energetic']"
Bull Arab,https://www.dogbreedslist.info//all-dog-breeds/bull-arab.html,-,No,-,Prices: Unknown,Lifespan: 12-15 years,"['Calm', 'Free-spirited', 'Even Tempered', 'Active']"
Taco Terrier,https://www.dogbreedslist.info//all-dog-breeds/taco-terrier.html,-,-,-,Prices: Unknown,Lifespan: 13-15 years,"['Trainable', 'Brave', 'Stable', 'Courageous']"
Africanis,https://www.dogbreedslist.info//all-dog-breeds/africanis.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years,"['Gentle', 'Courageous', 'Devoted', 'Patient']"
Aidi,https://www.dogbreedslist.info//all-dog-breeds/aidi.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years,"['Energetic', 'Loyal', 'Independent', 'Active']"
American Staghound,https://www.dogbreedslist.info//all-dog-breeds/american-staghound.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years,"['Calm', 'Lively', 'Affectionate', 'Gentle']"
Cão da Serra de Aires,https://www.dogbreedslist.info//all-dog-breeds/cao-da-serra-de-aires.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years,"['Alert', 'Independent', 'Proud', 'Lively']"
Drentse Patrijshond,https://www.dogbreedslist.info//all-dog-breeds/drentse-patrijshond.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years,"['Energetic', 'Free-spirited', 'Energetic', 'Agile']"
Drever,https://www.dogbreedslist.info//all-dog-breeds/drever.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years,"['Calm', 'Kind', 'Good-natured', 'Obedient']"
Dunker,https://www.dogbreedslist.info//all-dog-breeds/dunker.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years,"['Tenacious', 'Devoted', 'Watchful', 'Agile']"
Francais Blanc et Noir,https://www.dogbreedslist.info//all-dog-breeds/francais-blanc-et-noir.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years,"['Protective', 'Courageous', 'Protective', 'Good-natured']"
Polish Hunting Dog,https://www.dogbreedslist.info//all-dog-breeds/polish-hunting-dog.html,-,No,-,Prices: Unknown,Lifespan: 10-13 years,"['Loyal', 'Obedient', 'Lively', 'Alert']"
Hamilton Hound,https://www.dogbreedslist.info//all-dog-breeds/hamilton-hound.html,-,No,-,Prices: Unknown,Lifespan: 11-13 years,"['Attentive', 'Independent', 'Devoted', 'Robust']"
Jämthund,https://www.dogbreedslist.info//all-dog-breeds/jamthund.html,-,-,-,Prices: Unknown,Lifespan: 11-14 years,"['Energetic', 'Gentle', 'Loving', 'Loyal']"
New Guinea Singing Dog,https://www.dogbreedslist.info//all-dog-breeds/new-guinea-singing-dog.html,-,No,-,Prices: Unknown,Lifespan: 16-19 years,"['Cheerful', 'Energetic', 'Loving', 'Playful']"
Sapsali,https://www.dogbreedslist.info//all-dog-breeds/sapsali.html,-,-,-,Prices: Unknown,Lifespan: 11-13 years,"['Courageous', 'Energetic', 'Loving', 'Loyal']"
Smaland Hound,https://www.dogbreedslist.info//all-dog-breeds/smaland-hound.html,-,No,-,Prices: Unknown,Lifespan: 12-14 years,[]
Serbian Hound,https://www.dogbreedslist.info//all-dog-breeds/serbian-hound.html,-,-,-,Prices: Unknown,Lifespan: 12-14 years,
Thai Bangkaew Dog,https://www.dogbreedslist.info//all-dog-breeds/thai-bangkaew-dog.html,-,-,-,Prices: Unknown,Lifespan: 10-12 years,
Transylvanian Hound,https://www.dogbreedslist.info//all-dog-breeds/transylvanian-hound.html,-,No,-,Prices: Unknown,Lifespan: 10-12 years,
Alopekis,https://www.dogbreedslist.info//all-dog-breeds/alopekis.html,-,No,-,Prices: Unknown,Lifespan: 14-16 years,
Chippiparai,https://www.dogbreedslist.info//all-dog-breeds/chippiparai.html,-,No,-,Prices: Unknown,Lifespan: 12-15 years,
Chizer,https://www.dogbreedslist.info//all-dog-breeds/chizer.html,-,-,-,Prices: Unknown,Lifespan: 12-15 years,
Cotonese,https://www.dogbreedslist.info//all-dog-breeds/cotonese.html,-,No,-,Prices: Unknown,Lifespan: 13-15 years,
Dorgi,https://www.dogbreedslist.info//all-dog-breeds/dorgi.html,-,-,-,Prices: Unknown,Lifespan: 12-14 years,
